@relation WeatherForecast
@attribute WindSpeedKmph numeric
@attribute WindDirection360 {Variable,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360}
@attribute RelativeHumidityPercent numeric
@attribute AmosphericPressureMb numeric
@attribute DewPointCelcius numeric
@attribute TemperatureCelcius numeric
@data
24,320,54,1012,14,24
13,280,53,1012,13,23
19,320,54,1013,16,26
20,360,51,1011,14,25
4,90,83,1012,16,19
4,Variable,83,1012,17,20
22,320,51,1014,15,26
22,330,45,1015,13,26
24,270,57,1012,12,21
19,330,35,1018,11,28
6,290,34,1014,9,26
13,220,28,1014,8,28
15,320,57,1014,16,25
19,320,43,1014,15,29
11,300,29,1015,9,29
17,330,31,1018,10,29
17,280,21,1014,7,32
13,130,27,1016,10,31
7,40,26,1017,6,27
11,310,44,1018,9,22
20,350,50,1015,10,21
17,290,47,1008,12,24
9,30,73,1015,13,18
26,220,36,1016,8,24
24,230,34,1016,9,26
19,250,28,1015,7,27
2,Variable,44,1014,11,24
13,290,77,1010,12,16
28,300,88,1008,12,14
11,110,24,1012,7,30
19,100,26,1015,6,27
9,20,38,1017,8,23
11,310,35,1019,4,20
7,220,34,1012,1,17
17,250,37,1008,3,18
9,230,34,1007,7,24
11,180,29,1012,2,21
15,290,37,1013,2,17
20,280,59,1010,7,15
26,240,17,1010,-3,23
20,240,18,1012,-1,25
7,Variable,31,1013,6,24
7,310,23,1015,0,22
11,330,33,1018,4,21
17,320,33,1023,6,23
11,280,46,1026,8,20
19,330,41,1020,-1,12
28,330,66,1019,-1,5
19,310,61,1020,-1,6
20,320,50,1017,0,10
19,330,50,1014,0,10
15,310,71,1013,3,8
19,320,59,1011,5,13
24,120,56,1013,8,17
17,230,67,1016,7,13
13,80,72,1011,8,13
28,300,42,1017,2,15
13,300,66,1004,3,9
4,Variable,67,1008,4,10
13,330,47,1008,0,11
26,270,31,1008,-4,13
11,290,60,1012,-6,1
24,320,65,1010,-4,2
26,260,57,1010,-1,7
22,110,58,1022,2,10
2,Variable,75,1024,-2,2
20,330,61,1018,0,7
4,Variable,41,1013,-1,12
17,320,41,1020,-2,11
9,300,23,1018,-7,14
11,290,36,1021,-1,14
13,290,36,1021,-2,13
4,Variable,50,1022,-2,8
22,340,66,1022,-1,5
19,340,75,1016,-1,3
17,310,75,1016,-1,3
17,70,62,1015,3,10
17,90,47,1015,1,12
11,300,76,1016,1,5
11,280,76,1014,1,5
15,260,81,1013,0,3
13,70,82,1016,6,9
19,70,41,1021,1,14
17,70,50,1021,1,11
20,50,54,1020,1,10
19,280,50,1016,-2,8
11,70,66,1013,3,9
2,Variable,66,1010,3,9
2,Variable,81,1007,4,7
13,130,66,1003,3,9
17,70,71,1009,3,8
20,90,71,1002,2,7
11,160,51,1010,2,12
11,90,81,1021,-1,2
13,270,74,1012,-7,-3
7,280,100,993,0,0
11,230,49,1001,-3,7
11,250,81,1005,0,3
11,70,87,1009,3,5
11,160,62,1015,1,8
26,70,75,1015,-3,1
19,80,74,1016,-9,-5
24,310,74,1010,-7,-3
19,290,80,1003,-3,0
2,Variable,93,1008,2,3
11,70,87,1008,2,4
